TimeStamp,Pair,Open,High,Low,Close,Volume_USD,Volume_CCY
1613692800.0,ETH/USD,1938.3,1944.8,1934.8,1942.6,1010690.962092768,520.27744368
1613689200.0,ETH/USD,1937.7,1941.1,1913.7,1937.5,3813832.5793612497,1968.42971838
1613685600.0,ETH/USD,1944.4,1946.9,1932.2,1937.7,2336444.584014717,1205.78241421
1613682000.0,ETH/USD,1936.9,1948.84596805,1935.1,1944.5,5808598.681995765,2987.19397377
1613678400.0,ETH/USD,1922.2,1940.7,1914.1,1937.0,5951305.64612181,3072.43451013
1613674800.0,ETH/USD,1926.2,1937.8,1917.29717393,1922.2,3171313.984226626,1649.83559683
1613671200.0,ETH/USD,1917.5372388,1936.7,1912.1,1926.4,11259221.012358146,5844.69529296
1613667600.0,ETH/USD,1922.3,1922.73072951,1914.3,1917.2,3403874.428228468,1775.44044869
1613664000.0,ETH/USD,1909.8,1922.9,1908.7,1922.3,2608506.8539242717,1356.97178064
1613660400.0,ETH/USD,1925.1,1926.10057349,1901.2,1909.7,6123522.326162619,3206.53627594
1613656800.0,ETH/USD,1914.1,1926.7,1907.7,1925.6,2637088.725422552,1369.48936717
1613653200.0,ETH/USD,1901.4,1920.9,1894.27282201,1915.0,2805677.3247098504,1465.10565259
1613232000.0,ETH/USD,1817.2,1824.0,1798.1,1809.3,5179514.82359133,2862.7175281
1613649600.0,ETH/USD,1900.1,1905.6,1882.1,1901.2,6215538.749443129,3269.27138094
1613646000.0,ETH/USD,1917.0,1920.9,1890.2,1900.0,3299167.0965380003,1736.40373502
1613642400.0,ETH/USD,1900.0,1927.8,1900.0,1917.1,8710222.620743675,4543.43676425
1613638800.0,ETH/USD,1890.6,1902.9,1883.1,1900.0,2106559.391043,1108.71546897
1613635200.0,ETH/USD,1900.1,1912.1,1885.5,1890.6,2151131.710687656,1137.80371876
1613631600.0,ETH/USD,1898.3,1906.7,1880.7,1900.0,3334815.867229,1755.16624591
1613628000.0,ETH/USD,1901.4,1906.9,1888.46938466,1898.4,2849839.379350488,1501.17961407
1613624400.0,ETH/USD,1901.7014912,1910.8,1897.6,1901.4,2800486.4175214805,1472.8549582
1613620800.0,ETH/USD,1892.0,1902.4,1880.6,1901.8,4002177.724705312,2104.41567184
1613617200.0,ETH/USD,1909.9,1910.0,1887.5,1892.2,3235803.666705516,1710.07486878
1613613600.0,ETH/USD,1908.6,1919.5,1893.6,1910.0,8000529.1904586,4188.75873846
1613610000.0,ETH/USD,1870.7,1920.3,1866.6647142,1908.5,36666756.35678374,19212.34286444
1613606400.0,ETH/USD,1848.7,1870.9,1848.7,1870.82431842,4216655.399189476,2253.9023882
1613602800.0,ETH/USD,1838.3,1849.4,1830.6,1848.7,3280738.957378449,1774.61943927
1613599200.0,ETH/USD,1855.1,1856.9,1831.1,1838.3,4349953.116305706,2366.29120182
1613595600.0,ETH/USD,1829.7,1856.0,1821.30727648,1854.8,9196698.401257811,4958.32348569
1613592000.0,ETH/USD,1838.9,1842.9,1825.6,1829.8,4904481.508424764,2680.33747318
1613588400.0,ETH/USD,1817.8,1841.2,1817.2,1838.3,5183881.985285571,2819.93253837
1613584800.0,ETH/USD,1820.7,1825.4,1815.8,1817.9,1807847.6768789012,994.47036519
1613581200.0,ETH/USD,1816.29476438,1822.9,1811.3,1820.7,1378947.124149084,757.37195812
1613577600.0,ETH/USD,1813.9,1827.9,1801.2,1816.1,6688841.105698323,3683.07973443
1613574000.0,ETH/USD,1819.4,1823.9,1808.0,1812.0,2522652.18692568,1392.19215614
1613570400.0,ETH/USD,1826.2,1829.9,1808.6,1819.4,2234705.6339597884,1228.26516102
1613566800.0,ETH/USD,1829.5,1833.8,1807.3,1826.20268522,5689922.971796923,3115.7127398000002
1613563200.0,ETH/USD,1810.4,1849.0,1809.6,1829.0,20881096.1956539,11416.6736991
1613559600.0,ETH/USD,1811.1,1817.357554,1807.7,1810.6,2466089.194927776,1362.02871696
1613556000.0,ETH/USD,1817.0,1827.0,1806.3,1811.1,3868899.903930816,2136.21550656
1613552400.0,ETH/USD,1802.9,1824.2,1800.4,1816.9,8666520.824593145,4769.94926776
1613548800.0,ETH/USD,1811.6,1814.0,1795.0,1802.8,7181541.398340448,3983.54859016
1613545200.0,ETH/USD,1777.2,1812.8402754,1774.10336,1811.6,21019013.74677006,11602.45846035
1613541600.0,ETH/USD,1748.6,1779.0,1746.3,1777.2,7761205.423144752,4367.09735716
1613538000.0,ETH/USD,1740.8,1749.9,1736.7,1748.5,7755687.867467539,4435.62360164
1613534400.0,ETH/USD,1755.8,1763.9,1735.3,1740.9,5035938.402920838,2892.72123782
1613530800.0,ETH/USD,1772.86994363,1773.8,1745.1,1755.9,5324098.899686005,3032.11965356
1613527200.0,ETH/USD,1763.1,1782.7,1762.1934435,1772.8,4306267.898055168,2429.07710856
1613523600.0,ETH/USD,1764.9,1776.8,1760.0,1763.1305049,1829419.9941234463,1037.5976078
1613520000.0,ETH/USD,1783.710981,1788.4,1763.0,1764.9,4254488.409786723,2410.61159827
1613516400.0,ETH/USD,1769.2,1787.3,1767.1,1784.6,9317616.649853155,5221.12330486
1613512800.0,ETH/USD,1752.1,1770.9,1747.5,1769.0,4265438.201548629,2411.21435927
1613509200.0,ETH/USD,1751.6,1753.5,1738.0,1752.2,3510568.32406581,2003.52033105
1613505600.0,ETH/USD,1752.1,1752.3,1730.0,1752.3,7952758.703027523,4538.46870001
1613502000.0,ETH/USD,1758.4,1763.1,1750.1,1752.6,1648182.607822248,940.42143548
1613498400.0,ETH/USD,1752.1,1762.9,1725.0,1758.4,15767593.68161544,8967.01187535
1613494800.0,ETH/USD,1747.4,1763.2,1742.4,1752.7,6967560.909017756,3975.33001028
1613491200.0,ETH/USD,1773.2915646,1779.8,1746.0,1747.1,13643662.479754575,7809.31971825
1613487600.0,ETH/USD,1782.1,1792.7,1773.1,1773.4,3665045.0229054363,2066.67701754
1613484000.0,ETH/USD,1777.0,1786.71714951,1761.0,1782.8,13644550.90755654,7653.43892055
1613480400.0,ETH/USD,1801.2,1804.9,1776.2,1776.5,9137115.55833582,5143.32426588
1613476800.0,ETH/USD,1782.3,1825.0,1768.2,1800.8,33725234.56195539,18727.91790424
1613473200.0,ETH/USD,1794.4,1794.4,1780.0,1783.4,7513447.35551949,4212.99055485
1613469600.0,ETH/USD,1802.8,1805.0,1788.1,1794.5,2797441.485850755,1558.89745659
1613466000.0,ETH/USD,1809.4,1809.4,1797.1,1802.8,1260058.710476024,698.94536858
1613462400.0,ETH/USD,1798.6,1809.5,1792.8,1809.4,1904062.8535371083,1052.31726182
1613458800.0,ETH/USD,1796.7,1801.4,1785.5,1799.0,2540520.73143645,1412.18495355
1613455200.0,ETH/USD,1809.1,1809.79440282,1779.4,1796.8,8644977.120383505,4811.31852203
1613451600.0,ETH/USD,1814.3,1819.8,1804.2,1809.2,2542112.440122488,1405.10305114
1613448000.0,ETH/USD,1823.2,1827.9,1811.1,1814.8,6746742.659835672,3717.62324214
1613444400.0,ETH/USD,1800.9,1828.3,1797.2,1823.5967635,12771304.27918477,7003.35980783
1613440800.0,ETH/USD,1799.9730067,1806.9,1795.0,1801.8,2199901.508943138,1220.94655841
1613437200.0,ETH/USD,1774.8,1800.0,1772.1,1800.0,3824713.492398,2124.84082911
1613433600.0,ETH/USD,1778.5,1782.45809318,1746.1,1774.8,13478714.673805187,7594.49778781
1613430000.0,ETH/USD,1797.6,1806.9,1770.9,1779.42505123,7283541.040597257,4093.19911258
1613426400.0,ETH/USD,1787.5,1798.9,1761.1,1798.7,14788214.2372983,8221.61240746
1613422800.0,ETH/USD,1826.5,1830.8,1786.1,1788.8,9723208.96674192,5435.60429715
1613419200.0,ETH/USD,1823.9,1837.125887,1818.1,1826.0,10642780.82438912,5828.46704512
1613415600.0,ETH/USD,1805.2,1825.1,1804.7,1823.7,1821874.2484833961,998.9988750800001
1613412000.0,ETH/USD,1817.672248,1825.9,1805.1,1805.1,1500961.51442886,831.5115586000001
1613408400.0,ETH/USD,1821.0,1829.3,1811.9,1817.5,8115738.707771599,4465.33078832
1613404800.0,ETH/USD,1809.9,1834.0,1809.9,1821.2,8552512.86665654,4696.08657295
